,tag_total,date
22,"['#육즙좔좔', '#햄버거', '#수제버거', '#먹는게남는거']",2021-09-06T05:27:23.000Z
23,"['#버거앤프라이즈', '#배민', '#수제버거', '#신림맛집', '#신대방맛집', '#수제버거', '#햄버거', '#새우버거', '#수제버거맛집', '#버거앤프라이즈', '#점심메뉴', '#점심', '#lunch', '#dinner', '#foodporn', '#yummy', '#food', '#koreanburger', '#burger', '#배고파']",2021-09-06T05:26:14.000Z
24,"['#크라이치즈버거', '#월요일', '#크라이치즈버거', '#crycheeseburger', '#cheeseburger', '#치즈버거', '#햄버거', '#수제버거', '#부천맛집', '#숭실대맛집', '#삼성역맛집', '#양재맛집', '#역삼맛집', '#상암맛집', '#역곡맛집', '#서울맛집', '#핫플레이스', '#hamburger', '#burger', '#먹스타그램', '#먹부림', '#먹팔', '#햄버거맛집', '#핫플']",2021-09-06T05:21:08.000Z
25,"['#크라이치즈버거', '#맛점', '#크라이치즈버거', '#crycheeseburger', '#cheeseburger', '#치즈버거', '#햄버거', '#수제버거', '#핫플레이스', '#hamburger', '#burger', '#yummy', '#food', '#foodporn', '#foodstagram', '#foodie', '#먹스타그램', '#먹부림', '#먹팔', '#햄버거맛집', '#핫플', '#패스트푸드', '#배달맛집', '#배달', '#배달음식']",2021-09-06T05:20:00.000Z
26,"['#크라이치즈버거', '#스마일', '#크라이치즈버거', '#crycheeseburger', '#cheeseburger', '#치즈버거', '#햄버거', '#수제버거', '#핫플레이스', '#먹스타그램', '#먹부림', '#먹팔', '#햄버거맛집', '#핫플', '#패스트푸드', '#배달맛집', '#배달', '#배달음식', '#eeeeeats', '#seouleats', '#seoul', '#enjoy']",2021-09-06T05:19:03.000Z
27,"['#Repost', 'norah_yarah_rosa', 'make_repost']",2021-09-05T22:33:53.000Z
28,"['#오늘점심', '#수제버거', '#버거파이터', '#교대맛집', '#햄버거']",2021-09-06T05:18:18.000Z
29,"['#제주도', '#맛집', '#부가네얼큰이', '#신설오름', '#기타등등', '#고기', '#한라산도', '#테라', '#햄버거', '#몸국']",2021-09-06T05:09:42.000Z
30,"['#월요일', '#다운타우너', '#DWTWN', '#morethanjustaburger', '#다운타우너', '#downtowner', '#이태원', '#한남동', '#청담동', '#송리단길', '#수제버거', '#먹스타그램', '#빵스타그램', '#햄버거', '#빵', '#잠실', '#잠실맛집', '#JMT', '#서울맛집', '#햄버거', '#서울', '#수제버거맛집', '#송리단길맛집', '#seoul', '#enjoy', '#광교맛집', '#수원맛집', '#광교갤러리아', '#광교맛집추천', '#수원맛집추천']",2021-09-06T05:07:19.000Z
31,"['#판타스틱버거', '#화이트킹', '#커리크림프라이', '#제주도여행', '#서귀포시', '#표선', '#판타스틱버거', '#화이트킹', '#커리크림프라이', '#수제버거', '#햄버거']",2021-09-06T05:05:36.000Z
